Date,Cases
2021-07-05T00:00:00Z,62630
2021-07-06T00:00:00Z,62640
2021-07-07T00:00:00Z,62652
2021-07-08T00:00:00Z,62668
2021-07-09T00:00:00Z,62678
2021-07-10T00:00:00Z,62684
2021-07-11T00:00:00Z,62692
2021-07-12T00:00:00Z,62718
2021-07-13T00:00:00Z,62744
2021-07-14T00:00:00Z,62804
2021-07-15T00:00:00Z,62852
2021-07-16T00:00:00Z,62913
2021-07-17T00:00:00Z,62981
2021-07-18T00:00:00Z,63073
2021-07-19T00:00:00Z,63245
2021-07-20T00:00:00Z,63440
2021-07-21T00:00:00Z,63621
2021-07-22T00:00:00Z,63791
2021-07-23T00:00:00Z,63924
2021-07-24T00:00:00Z,64054
2021-07-25T00:00:00Z,64179
2021-07-26T00:00:00Z,64314
2021-07-27T00:00:00Z,64453
2021-07-28T00:00:00Z,64589
2021-07-29T00:00:00Z,64722
2021-07-30T00:00:00Z,64861
2021-07-31T00:00:00Z,64981
2021-08-01T00:00:00Z,65102
2021-08-02T00:00:00Z,65213
2021-08-03T00:00:00Z,65315
2021-08-04T00:00:00Z,65410
2021-08-05T00:00:00Z,65508
2021-08-06T00:00:00Z,65605
2021-08-07T00:00:00Z,65686
2021-08-08T00:00:00Z,65764
2021-08-09T00:00:00Z,65836
2021-08-10T00:00:00Z,65836
2021-08-11T00:00:00Z,65953
2021-08-12T00:00:00Z,66012
2021-08-13T00:00:00Z,66061
2021-08-14T00:00:00Z,66119
2021-08-15T00:00:00Z,66172
2021-08-16T00:00:00Z,66225
2021-08-17T00:00:00Z,66281
2021-08-18T00:00:00Z,66334
2021-08-19T00:00:00Z,66366
2021-08-20T00:00:00Z,66406
2021-08-21T00:00:00Z,66443
2021-08-22T00:00:00Z,66478
2021-08-23T00:00:00Z,66576
2021-08-24T00:00:00Z,66692
2021-08-25T00:00:00Z,66812
2021-08-26T00:00:00Z,66928
2021-08-27T00:00:00Z,66928
2021-08-28T00:00:00Z,67171
2021-08-29T00:00:00Z,67171
2021-08-30T00:00:00Z,67459
2021-08-31T00:00:00Z,67620
2021-09-01T00:00:00Z,67800
2021-09-02T00:00:00Z,67991
2021-09-03T00:00:00Z,68210
2021-09-04T00:00:00Z,68469
2021-09-05T00:00:00Z,68660
2021-09-06T00:00:00Z,68901
2021-09-07T00:00:00Z,69233
2021-09-08T00:00:00Z,69582
2021-09-09T00:00:00Z,70039
2021-09-10T00:00:00Z,70612
2021-09-11T00:00:00Z,71167
2021-09-12T00:00:00Z,71687
2021-09-13T00:00:00Z,72294
2021-09-14T00:00:00Z,73131
2021-09-15T00:00:00Z,73938
2021-09-16T00:00:00Z,74848
2021-09-17T00:00:00Z,75783
2021-09-18T00:00:00Z,76792
2021-09-19T00:00:00Z,77804
2021-09-20T00:00:00Z,78721
2021-09-21T00:00:00Z,79899
2021-09-22T00:00:00Z,81356
2021-09-23T00:00:00Z,82860
2021-09-24T00:00:00Z,84510
2021-09-25T00:00:00Z,85953
2021-09-26T00:00:00Z,87892
2021-09-27T00:00:00Z,89539
2021-09-28T00:00:00Z,91775
2021-09-29T00:00:00Z,94043
2021-09-30T00:00:00Z,96521
2021-10-01T00:00:00Z,99430
2021-10-02T00:00:00Z,101786
2021-10-03T00:00:00Z,103843
2021-10-04T00:00:00Z,106318
2021-10-05T00:00:00Z,109804
2021-10-06T00:00:00Z,113381
2021-10-07T00:00:00Z,116864
2021-10-08T00:00:00Z,120454
2021-10-09T00:00:00Z,124157
2021-10-10T00:00:00Z,126966
2021-10-11T00:00:00Z,129229
2021-10-12T00:00:00Z,132205
2021-10-13T00:00:00Z,135395
2021-10-14T00:00:00Z,138327
2021-10-15T00:00:00Z,141772
2021-10-16T00:00:00Z,145120
2021-10-17T00:00:00Z,148178
2021-10-18T00:00:00Z,150731
2021-10-19T00:00:00Z,154725
2021-10-20T00:00:00Z,158587
2021-10-21T00:00:00Z,162026
2021-10-22T00:00:00Z,165663
2021-10-23T00:00:00Z,169261
2021-10-24T00:00:00Z,172644
2021-10-25T00:00:00Z,175818
2021-10-26T00:00:00Z,179095
2021-10-27T00:00:00Z,184419
2021-10-28T00:00:00Z,187851
2021-10-29T00:00:00Z,192099
2021-10-30T00:00:00Z,195211
2021-10-31T00:00:00Z,198374
2021-11-01T00:00:00Z,200844
2021-11-02T00:00:00Z,204340
2021-11-03T00:00:00Z,207975
2021-11-04T00:00:00Z,210978
2021-11-05T00:00:00Z,212745
2021-11-06T00:00:00Z,215780
2021-11-07T00:00:00Z,218333
2021-11-08T00:00:00Z,220803
2021-11-09T00:00:00Z,224200
2021-11-10T00:00:00Z,227681
2021-11-11T00:00:00Z,230077
2021-11-12T00:00:00Z,233176
2021-11-13T00:00:00Z,235480
2021-11-14T00:00:00Z,237203
2021-11-15T00:00:00Z,239272
2021-11-16T00:00:00Z,241341
2021-11-17T00:00:00Z,244815
2021-11-18T00:00:00Z,244815
2021-11-19T00:00:00Z,248587
2021-11-20T00:00:00Z,250518
2021-11-21T00:00:00Z,252188
2021-11-22T00:00:00Z,253649
2021-11-23T00:00:00Z,255431
2021-11-24T00:00:00Z,257510
2021-11-25T00:00:00Z,258785
2021-11-26T00:00:00Z,259875
2021-11-27T00:00:00Z,261636
2021-11-28T00:00:00Z,262383
2021-11-29T00:00:00Z,263486
2021-11-30T00:00:00Z,264725
2021-12-01T00:00:00Z,266049
2021-12-02T00:00:00Z,267150
2021-12-03T00:00:00Z,267916
2021-12-04T00:00:00Z,268659
2021-12-05T00:00:00Z,269211
2021-12-06T00:00:00Z,269873
2021-12-07T00:00:00Z,270588
2021-12-08T00:00:00Z,271297
2021-12-09T00:00:00Z,271979
2021-12-10T00:00:00Z,272433
2021-12-11T00:00:00Z,272992
2021-12-12T00:00:00Z,273362
2021-12-13T00:00:00Z,273701
2021-12-14T00:00:00Z,274143
2021-12-15T00:00:00Z,274617
2021-12-16T00:00:00Z,274972
2021-12-17T00:00:00Z,275384
2021-12-18T00:00:00Z,275655
2021-12-19T00:00:00Z,275910
2021-12-20T00:00:00Z,276105
2021-12-21T00:00:00Z,276385
2021-12-22T00:00:00Z,276720
2021-12-23T00:00:00Z,277042
2021-12-24T00:00:00Z,277307
2021-12-25T00:00:00Z,277555
2021-12-26T00:00:00Z,277764
2021-12-27T00:00:00Z,278044
2021-12-28T00:00:00Z,278409
2021-12-29T00:00:00Z,278750
2021-12-30T00:00:00Z,279061
2021-12-31T00:00:00Z,279405
2022-01-01T00:00:00Z,279861
2022-01-02T00:00:00Z,280290
2022-01-03T00:00:00Z,280754
2022-01-04T00:00:00Z,281596
2022-01-05T00:00:00Z,282401
2022-01-06T00:00:00Z,283214
2022-01-07T00:00:00Z,283214
2022-01-08T00:00:00Z,284802
2022-01-09T00:00:00Z,285647
2022-01-10T00:00:00Z,286397
2022-01-11T00:00:00Z,287243
2022-01-12T00:00:00Z,288125
2022-01-13T00:00:00Z,289085
2022-01-14T00:00:00Z,290030
2022-01-15T00:00:00Z,290986
2022-01-16T00:00:00Z,291849
2022-01-17T00:00:00Z,293014
2022-01-18T00:00:00Z,294462
2022-01-19T00:00:00Z,296077
2022-01-20T00:00:00Z,297549
2022-01-21T00:00:00Z,307813
2022-01-22T00:00:00Z,310276
2022-01-23T00:00:00Z,313772
2022-01-24T00:00:00Z,316774
2022-01-25T00:00:00Z,322770
2022-01-26T00:00:00Z,327602
2022-01-27T00:00:00Z,333071
2022-01-28T00:00:00Z,338625
2022-01-29T00:00:00Z,343832
2022-01-30T00:00:00Z,348330
2022-01-31T00:00:00Z,352811
2022-02-01T00:00:00Z,359075
2022-02-02T00:00:00Z,362176
2022-02-03T00:00:00Z,366473
2022-02-04T00:00:00Z,379681
2022-02-05T00:00:00Z,379681
2022-02-06T00:00:00Z,390071
2022-02-07T00:00:00Z,405629
2022-02-08T00:00:00Z,418640
2022-02-09T00:00:00Z,428954
2022-02-10T00:00:00Z,439640
2022-02-11T00:00:00Z,449570
2022-02-12T00:00:00Z,460075
2022-02-13T00:00:00Z,469495
2022-02-14T00:00:00Z,478577
2022-02-15T00:00:00Z,497997
2022-02-16T00:00:00Z,514880
2022-02-17T00:00:00Z,533425
2022-02-18T00:00:00Z,551519
2022-02-19T00:00:00Z,576355
2022-02-20T00:00:00Z,582638
2022-02-21T00:00:00Z,596261
2022-02-22T00:00:00Z,622293
2022-02-23T00:00:00Z,642605
2022-02-24T00:00:00Z,661198
2022-02-25T00:00:00Z,679795
2022-02-26T00:00:00Z,696652
2022-02-27T00:00:00Z,710880
2022-02-28T00:00:00Z,724424
2022-03-01T00:00:00Z,748504
2022-03-02T00:00:00Z,767663
2022-03-03T00:00:00Z,785825
2022-03-04T00:00:00Z,803389
2022-03-05T00:00:00Z,819663
2022-03-06T00:00:00Z,832821
2022-03-07T00:00:00Z,846341
2022-03-08T00:00:00Z,846341
2022-03-09T00:00:00Z,885593
2022-03-10T00:00:00Z,901758
